org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-02-23,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-02-23,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda,2026-02-23,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,MANANA,630,630,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,NOCHE,840,840,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,MANANA,870,870,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,NOCHE,600,600,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,MANANA,630,630,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,NOCHE,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,MANANA,630,630,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,NOCHE,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,INTERMEDIO,1500,1500,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,MANANA,1500,1500,0,0,100.0
PERU 805,Operador,2026-02-23,INTERMEDIO,2370,2370,0,0,100.0
PERU 805,Operador,2026-02-23,MANANA,1500,1500,0,0,100.0
PERU 805,Operador,2026-02-23,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador,2026-03-02,INTERMEDIO,2070,2070,0,0,100.0
PERU 805,Operador,2026-03-02,MANANA,1470,1470,0,0,100.0
PERU 805,Operador,2026-03-02,NOCHE,1080,1080,0,0,100.0
PERU 805,Operador,2026-03-09,INTERMEDIO,2070,2070,0,0,100.0
PERU 805,Operador,2026-03-09,MANANA,1470,1470,0,0,100.0
PERU 805,Operador,2026-03-09,NOCHE,1080,1080,0,0,100.0
PERU 805,Operador,2026-03-16,INTERMEDIO,3720,3720,0,0,100.0
PERU 805,Operador,2026-03-16,MANANA,1920,1920,0,0,100.0
PERU 805,Operador,2026-03-16,NOCHE,1920,1920,0,0,100.0
PERU 805,Operador,2026-03-23,INTERMEDIO,3600,3600,0,0,100.0
PERU 805,Operador,2026-03-23,MANANA,2040,2040,0,0,100.0
PERU 805,Operador,2026-03-23,NOCHE,1920,1920,0,0,100.0
PERU 805,Operador pt,2026-02-23,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-02-23,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-02-23,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-03-02,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-03-02,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-03-02,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-03-09,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-03-09,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-03-09,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-03-16,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-03-16,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-03-16,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-03-23,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-03-23,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-03-23,NOCHE,60,60,0,0,100.0
PERU 805,operador,2026-02-23,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,operador,2026-02-23,MANANA,870,870,0,0,100.0
PERU 805,operador,2026-02-23,NOCHE,600,600,0,0,100.0
PERU 805,operador,2026-03-02,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,operador,2026-03-02,MANANA,870,870,0,0,100.0
PERU 805,operador,2026-03-02,NOCHE,600,600,0,0,100.0
PERU 805,operador,2026-03-09,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,operador,2026-03-09,MANANA,390,390,0,0,100.0
PERU 805,operador,2026-03-09,NOCHE,1080,1080,0,0,100.0
PERU 805,operador,2026-03-16,INTERMEDIO,1500,1500,0,0,100.0
PERU 805,operador,2026-03-16,MANANA,810,810,0,0,100.0
PERU 805,operador,2026-03-16,NOCHE,630,630,0,0,100.0
PERU 805,operador,2026-03-23,INTERMEDIO,1500,1500,0,0,100.0
PERU 805,operador,2026-03-23,MANANA,570,570,0,0,100.0
PERU 805,operador,2026-03-23,NOCHE,870,870,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-02-23,INTERMEDIO,1470,1470,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-02-23,MANANA,390,390,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-02-23,NOCHE,1080,1080,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-02,INTERMEDIO,1380,1380,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-02,MANANA,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-02,NOCHE,270,270,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-09,INTERMEDIO,1380,1380,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-09,MANANA,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-09,NOCHE,270,270,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-16,INTERMEDIO,1470,1470,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-16,MANANA,390,390,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-16,NOCHE,1080,1080,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-23,INTERMEDIO,1380,1380,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-23,MANANA,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-23,NOCHE,270,270,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-02-23,INTERMEDIO,1470,1470,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-02-23,MANANA,390,390,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-02-23,NOCHE,1080,1080,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-02,INTERMEDIO,1470,1470,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-02,MANANA,390,390,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-02,NOCHE,1080,1080,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-09,INTERMEDIO,1470,1470,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-09,MANANA,390,390,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-09,NOCHE,1080,1080,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-16,INTERMEDIO,1470,1470,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-16,MANANA,390,390,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-16,NOCHE,1080,1080,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-23,INTERMEDIO,1470,1470,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-23,MANANA,390,390,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-23,NOCHE,1080,1080,0,0,100.0
UO_PRUEBA,Operador,2026-02-23,INTERMEDIO,3750,3750,0,0,100.0
UO_PRUEBA,Operador,2026-02-23,MANANA,3090,3090,0,0,100.0
UO_PRUEBA,Operador,2026-02-23,NOCHE,1620,1620,0,0,100.0
UO_PRUEBA,Operador,2026-03-02,INTERMEDIO,3750,3750,0,0,100.0
UO_PRUEBA,Operador,2026-03-02,MANANA,2280,2280,0,0,100.0
UO_PRUEBA,Operador,2026-03-02,NOCHE,2430,2430,0,0,100.0
UO_PRUEBA,Operador,2026-03-09,INTERMEDIO,3780,3780,0,0,100.0
UO_PRUEBA,Operador,2026-03-09,MANANA,2220,2220,0,0,100.0
UO_PRUEBA,Operador,2026-03-09,NOCHE,2460,2460,0,0,100.0
UO_PRUEBA,Operador,2026-03-16,INTERMEDIO,3660,3660,0,0,100.0
UO_PRUEBA,Operador,2026-03-16,MANANA,3240,3240,0,0,100.0
UO_PRUEBA,Operador,2026-03-16,NOCHE,1620,1620,0,0,100.0
UO_PRUEBA,Operador,2026-03-23,INTERMEDIO,3810,3810,0,0,100.0
UO_PRUEBA,Operador,2026-03-23,MANANA,2160,2160,0,0,100.0
UO_PRUEBA,Operador,2026-03-23,NOCHE,2490,2490,0,0,100.0
